,Unnamed: 0,budget,popularity,new release_date,new spoken_languages,new cast,new production_companies,new production_countries,new crew,new geners,new keywords,revenue,runtime,vote_average,vote_count
0,0,237000000.0,150.437577,10.0,2,1,3,2,68.96729166666667,24.355775251346753,7,2787965087.0,162.0,7.2,11800.0
1,1,300000000.0,139.082615,12.0,1,4,2,1,77.08188272165376,18.284440459224214,3,961000000.0,169.0,6.9,4500.0
2,2,245000000.0,107.376788,4.0,5,2,1,2,159.06686119436125,18.516796112690074,4,880674609.0,148.0,6.3,4466.0
3,3,250000000.0,112.31295,7.0,1,6,3,1,205.72635780885778,24.92859360449928,4,1084939099.0,165.0,7.6,9106.0
4,4,260000000.0,43.926995,7.0,1,2,1,1,127.63100233100229,18.276385938369653,6,284139100.0,132.0,6.1,2124.0
5,5,258000000.0,115.699814,12.0,2,8,2,1,154.92689532689533,18.284440459224214,6,890871626.0,139.0,5.9,3576.0
6,6,260000000.0,48.681969,9.0,1,1,1,1,191.94601449275368,12.338670030213251,7,591794936.0,100.0,7.4,3330.0
7,7,280000000.0,134.27922900000002,4.0,1,10,2,1,110.55658508158507,18.276385938369653,6,1405403694.0,141.0,7.3,6767.0
8,8,250000000.0,98.885637,10.0,1,2,2,2,48.34202380952381,18.276228539784213,2,933959197.0,153.0,7.4,5293.0
9,9,250000000.0,155.790452,3.0,1,6,5,1,129.81402777777777,18.284440459224214,3,873260194.0,151.0,5.7,7004.0
10,10,270000000.0,57.925623,13.0,3,2,4,1,73.6456349206349,24.355775251346753,4,391081192.0,154.0,5.4,1400.0
11,11,200000000.0,107.928811,11.0,5,2,1,2,44.57168803418803,24.63223109865827,2,586090727.0,106.0,6.1,2965.0
12,12,200000000.0,145.84737900000005,13.0,4,4,2,4,58.3520104697227,18.284440459224214,5,1065659812.0,151.0,7.0,5246.0
13,13,255000000.0,49.046956,6.0,1,4,2,1,75.96776804548027,18.61338447958045,3,89289910.0,149.0,5.9,2311.0
14,14,225000000.0,99.398009,6.0,1,7,3,2,83.61116702741701,24.355775251346753,3,662845518.0,143.0,6.5,6359.0
15,15,225000000.0,53.978602,11.0,1,1,3,4,128.14135975135974,18.276228539784213,3,419651413.0,150.0,6.3,1630.0
16,16,220000000.0,144.448633,7.0,1,8,2,1,134.58513904224432,18.276385938369653,6,1519557910.0,143.0,7.4,11776.0
17,17,380000000.0,135.413856,8.0,2,3,3,1,50.517427136389365,18.284440459224214,5,1045713802.0,136.0,6.4,4948.0
18,18,225000000.0,52.035179,7.0,1,4,2,1,38.86675213675214,18.07047071808878,2,624026776.0,106.0,6.2,4160.0
19,19,250000000.0,120.965743,5.0,1,1,3,2,98.88892857142856,18.284440459224214,2,956019788.0,144.0,7.1,4760.0
20,20,215000000.0,89.866276,7.0,1,1,1,1,58.10421855921855,18.284440459224214,3,752215857.0,136.0,6.5,6586.0
21,21,200000000.0,37.668301,9.0,2,2,4,2,39.48331081081081,12.205051146247115,0,310669540.0,140.0,6.2,1398.0
22,22,250000000.0,94.370564,6.0,1,1,3,2,148.40825396825394,12.243037961625754,0,958400000.0,161.0,7.6,4524.0
